Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Seed,Augmentation,Model
1,1.583907931582133,0.4061,1.5309462282074822,0.4435,2,False,ResNetBasedModelFor32x32Images
2,1.2196796539094712,0.5516111111111112,1.2035625504599676,0.5584777777777777,2,False,ResNetBasedModelFor32x32Images
3,1.062122895219591,0.6147555555555556,1.1713764200528465,0.5865444444444444,2,False,ResNetBasedModelFor32x32Images
4,0.9611118321736654,0.6518333333333334,0.985555728064643,0.6445111111111111,2,False,ResNetBasedModelFor32x32Images
5,0.8839669560114543,0.6818222222222222,0.9829622932857938,0.6495222222222222,2,False,ResNetBasedModelFor32x32Images
6,0.8244289609803094,0.7045777777777777,0.9679526863098143,0.6527888888888889,2,False,ResNetBasedModelFor32x32Images
7,0.7743989050547282,0.7219333333333333,0.8953757384936015,0.6827222222222222,2,False,ResNetBasedModelFor32x32Images
8,0.7309383646647135,0.7388111111111111,0.9130840381622316,0.6700111111111111,2,False,ResNetBasedModelFor32x32Images
9,0.6916173726823595,0.7518888888888889,0.9296831471337212,0.6769666666666667,2,False,ResNetBasedModelFor32x32Images
10,0.6535758319854736,0.7661222222222223,0.9545673852390714,0.6733111111111111,2,False,ResNetBasedModelFor32x32Images
11,0.6214405907842848,0.7769,1.0072286410013835,0.6559222222222222,2,False,ResNetBasedModelFor32x32Images
12,0.582705330573188,0.7910111111111111,0.8893723652733697,0.6961111111111111,2,False,ResNetBasedModelFor32x32Images
13,0.5478777338557773,0.8036333333333333,0.9520196973588732,0.6844444444444444,2,False,ResNetBasedModelFor32x32Images
14,0.5127881651348538,0.8158222222222222,0.98552507970598,0.6810777777777778,2,False,ResNetBasedModelFor32x32Images
15,0.4745634187274509,0.8284555555555555,1.0833251477135553,0.6603222222222223,2,False,ResNetBasedModelFor32x32Images
16,0.4330683908462524,0.8440222222222222,1.0120603916168214,0.6846222222222222,2,False,ResNetBasedModelFor32x32Images
17,0.3932636883788639,0.8581777777777778,1.1182096867349414,0.6690555555555555,2,False,ResNetBasedModelFor32x32Images
